Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000112679	336	372	425	395
ENSG00000112685	738	799	745	766
ENSG00000112695	4836	5160	4204	4226
ENSG00000112697	6744	7410	8046	7373
ENSG00000112699	460	516	410	397
ENSG00000112701	3189	3469	2161	2230
ENSG00000112706	1	0	1	0
ENSG00000112715	580	595	954	1021
ENSG00000112739	4073	4385	3742	3468
ENSG00000112742	3310	3690	2918	2693
ENSG00000112759	3107	3147	2259	2291
ENSG00000112761	0	0	3	0
ENSG00000112763	577	551	780	794
ENSG00000112769	3	7	1	6
ENSG00000112773	3794	4086	5428	5294
ENSG00000112782	12	21	10	11
ENSG00000112787	2480	2648	2005	2173
ENSG00000112796	0	1	3	2
ENSG00000112799	697	696	780	775
ENSG00000112812	74	45	41	45
ENSG00000112818	0	0	1	2
ENSG00000112837	2894	3105	2824	2760
ENSG00000112851	3909	4240	3494	3529
ENSG00000112852	460	483	506	506
ENSG00000112855	852	934	964	918
ENSG00000112874	664	684	611	532
ENSG00000112877	592	659	516	581
ENSG00000112893	3936	4471	3704	3615
ENSG00000112902	8	5	3	4
ENSG00000112936	4	1	3	5
ENSG00000112941	1244	1196	1088	1087
ENSG00000112964	49	41	26	24
ENSG00000112972	2939	3014	2260	2116
ENSG00000112977	4457	4649	4424	4263
ENSG00000112981	1	0	0	0
ENSG00000112983	1584	1770	1554	1525
ENSG00000112984	2262	2352	1960	1933
ENSG00000112992	9154	9693	6647	6226
ENSG00000112996	2513	2722	2633	2634
ENSG00000113013	15933	17202	17079	16251
ENSG00000113048	3025	3187	2697	2634
ENSG00000113068	1176	1202	1155	1154
ENSG00000113070	273	280	357	301
ENSG00000113073	1	0	0	0
ENSG00000113083	13	27	22	16
ENSG00000113088	0	0	0	0
ENSG00000113100	0	0	0	0
ENSG00000113108	157	192	197	212
ENSG00000113119	254	277	225	249
ENSG00000113140	6	6	1	1
ENSG00000113141	2951	3149	2975	2988
ENSG00000113161	3081	3352	2489	2489
ENSG00000113163	810	890	965	923
ENSG00000113194	3160	3433	3378	3229
ENSG00000113196	0	2	0	0
ENSG00000113205	53	53	58	53
ENSG00000113209	459	465	393	385
ENSG00000113211	131	139	143	123
ENSG00000113212	2	0	4	2
ENSG00000113231	3	1	3	2
ENSG00000113240	813	850	799	702
ENSG00000113248	0	2	1	0
ENSG00000113249	1	2	1	1
ENSG00000113262	3	7	4	4
ENSG00000113263	13	9	26	12
ENSG00000113269	1352	1292	1911	1795
ENSG00000113272	405	425	498	463
ENSG00000113273	3120	3111	3612	3599
ENSG00000113282	5561	5939	6344	6197
ENSG00000113296	524	514	349	353
ENSG00000113300	2507	2737	3287	3103
ENSG00000113302	2	4	0	1
ENSG00000113303	1	0	2	2
ENSG00000113312	1276	1434	1549	1512
ENSG00000113318	578	663	563	581
ENSG00000113319	6	12	3	5
ENSG00000113327	27	27	34	27
ENSG00000113328	3502	3907	3201	2983
ENSG00000113356	528	560	439	412
ENSG00000113360	4247	4843	3537	3540
ENSG00000113361	12	18	27	22
ENSG00000113368	6814	7390	8673	8450
ENSG00000113369	522	526	445	423
ENSG00000113384	4524	4987	4548	4293
ENSG00000113387	9949	10834	10323	9779
ENSG00000113389	4	11	16	14
ENSG00000113391	659	729	466	410
ENSG00000113396	10	8	4	5
ENSG00000113407	9122	9894	8458	8362
ENSG00000113430	0	0	0	0
ENSG00000113441	4030	4448	3674	3536
ENSG00000113448	260	307	205	222
ENSG00000113456	1957	2157	1502	1546
ENSG00000113460	2934	3187	3032	2911
ENSG00000113492	1	2	0	0
ENSG00000113494	858	1051	504	490
ENSG00000113504	1	2	5	1
ENSG00000113520	0	0	0	0
ENSG00000113522	112	129	120	120
ENSG00000113525	0	0	0	2
ENSG00000113532	1081	1206	1216	1171
ENSG00000113552	905	876	1035	949
ENSG00000113555	29	44	53	48
ENSG00000113558	3344	3688	3027	3151
ENSG00000113569	5713	6041	5781	5886
ENSG00000113575	5001	5280	5250	5074
ENSG00000113578	0	0	0	0
ENSG00000113580	2690	2945	3072	2950
ENSG00000113583	781	879	1749	1558
ENSG00000113593	1068	1099	1168	1123
ENSG00000113594	5	6	4	11
ENSG00000113595	258	284	218	205
ENSG00000113597	639	741	731	669
ENSG00000113600	0	1	1	0
ENSG00000113615	1259	1279	1965	1865
ENSG00000113621	423	466	403	385
ENSG00000113638	382	389	285	237
ENSG00000113643	2655	2939	3124	3061
ENSG00000113645	388	356	241	282
ENSG00000113648	11405	12167	12649	12642
ENSG00000113649	5605	6171	5188	5154
ENSG00000113657	3	7	1	6
ENSG00000113658	2012	2101	1837	1718
ENSG00000113712	3611	3890	4372	4209
ENSG00000113716	2574	2700	2853	2854
ENSG00000113719	1556	1650	1327	1296
ENSG00000113721	17	15	28	39
ENSG00000113722	0	0	1	2
ENSG00000113732	3067	3155	3404	3359
ENSG00000113734	199	217	207	180
ENSG00000113739	5	7	15	4
ENSG00000113742	632	680	733	682
ENSG00000113749	1244	1393	1193	1217
ENSG00000113758	903	944	633	647
ENSG00000113761	409	437	392	394
ENSG00000113763	39	50	23	26
ENSG00000113790	480	537	539	531
ENSG00000113805	1	1	1	0
ENSG00000113810	16223	17704	14196	13668
ENSG00000113811	488	557	522	483
ENSG00000113812	706	829	711	679
ENSG00000113838	503	454	432	378
ENSG00000113845	2276	2408	2184	2204
ENSG00000113851	562	597	529	538
ENSG00000113889	0	0	0	0
ENSG00000113905	11	13	16	11
ENSG00000113916	198	181	292	326
ENSG00000113924	16	9	44	42
ENSG00000113946	6	3	2	6
ENSG00000113966	111	121	86	82
ENSG00000113971	128	155	136	99
ENSG00000114013	31	30	62	59
ENSG00000114019	16	11	11	21
ENSG00000114021	1173	1354	1128	1069
ENSG00000114023	609	702	539	543
ENSG00000114026	574	581	563	690
ENSG00000114030	2897	3191	3025	2877
ENSG00000114054	2094	2232	2077	2103
ENSG00000114062	3907	4243	3010	2950
ENSG00000114098	1899	2070	2008	2053
ENSG00000114107	699	847	464	398
ENSG00000114113	0	0	0	0
ENSG00000114115	2	1	7	8
ENSG00000114120	2382	2677	2287	2091
ENSG00000114124	10	8	9	12
ENSG00000114125	1439	1552	1567	1438
ENSG00000114126	671	680	507	434
ENSG00000114127	1987	2049	2766	2492
ENSG00000114166	839	906	717	698
ENSG00000114200	0	0	0	0
ENSG00000114204	196	189	114	113
ENSG00000114209	1088	1192	1158	1110
ENSG00000114248	4	0	1	2
ENSG00000114251	0	3	1	1
ENSG00000114268	180	167	327	339
ENSG00000114270	121	110	174	186
ENSG00000114279	3	0	6	1
ENSG00000114302	5180	5496	3853	3891
ENSG00000114315	23	23	33	15
ENSG00000114316	2725	2805	3013	2823
ENSG00000114331	3377	3649	3952	3521
ENSG00000114346	2458	2715	2091	1984
ENSG00000114349	0	0	0	0
ENSG00000114353	8633	8765	9483	9538
ENSG00000114354	2859	3004	2754	2550
ENSG00000114374	6	13	18	17
ENSG00000114378	5	12	1	4
ENSG00000114383	1104	1275	1093	1155
ENSG00000114388	253	318	261	243
ENSG00000114391	8097	8492	5911	5970
ENSG00000114395	230	283	304	271
ENSG00000114405	229	236	248	258
ENSG00000114416	4310	4760	4018	3992
ENSG00000114423	206	205	178	179
ENSG00000114439	853	933	1145	1029
ENSG00000114446	366	434	254	284
ENSG00000114450	3398	3642	3791	3444
ENSG00000114455	104	128	149	130
ENSG00000114473	110	121	110	96
ENSG00000114480	1455	1538	1198	1079
ENSG00000114487	2	5	0	2
ENSG00000114491	1433	1497	1550	1452
ENSG00000114503	2441	2606	2184	2231
ENSG00000114520	1584	1699	1575	1466
ENSG00000114529	3	3	1	2
ENSG00000114541	680	666	752	722
ENSG00000114544	717	752	685	726
ENSG00000114547	5	1	0	0
ENSG00000114554	1713	1844	1709	1866
ENSG00000114573	3624	3851	4299	4163
ENSG00000114626	76	59	72	44
ENSG00000114631	1137	1052	1037	1090
ENSG00000114638	2	6	6	6
ENSG00000114646	127	145	65	75
ENSG00000114648	666	831	876	846
ENSG00000114650	2598	2629	2244	2363
ENSG00000114654	0	0	0	0
ENSG00000114656	15	17	20	24
ENSG00000114670	31	37	29	37
ENSG00000114686	4782	5228	4666	4469
ENSG00000114698	20	18	19	13
ENSG00000114735	595	649	514	581
ENSG00000114737	420	463	343	390
ENSG00000114738	3298	3344	2970	2891
ENSG00000114739	475	469	451	465
ENSG00000114742	1011	1176	1057	1004
ENSG00000114744	666	702	741	691
ENSG00000114745	1008	1135	1085	1069
ENSG00000114757	46	65	106	112
ENSG00000114767	967	967	915	956
ENSG00000114770	652	658	638	625
ENSG00000114771	0	0	0	0
ENSG00000114779	1189	1234	1018	999
ENSG00000114784	774	844	713	698
ENSG00000114786	3	1	0	1
ENSG00000114790	71	101	59	66
ENSG00000114796	417	428	386	378
ENSG00000114805	7	0	14	4
ENSG00000114812	34	36	17	17
ENSG00000114841	157	176	177	179
ENSG00000114850	4108	4472	4126	3972
ENSG00000114853	799	815	743	762
ENSG00000114854	1	1	0	0
ENSG00000114857	4813	5853	5170	4994
ENSG00000114859	118	88	81	79
ENSG00000114861	2164	2346	2679	2496
ENSG00000114867	26821	28253	29475	30173
ENSG00000114902	2703	2804	2343	2148
ENSG00000114904	1497	1624	1243	1307
ENSG00000114923	6	1	4	7
ENSG00000114933	1097	1234	1241	1177
ENSG00000114942	7426	7864	5647	5538
ENSG00000114948	1	3	2	1
ENSG00000114956	811	850	734	787
ENSG00000114978	8598	9309	8884	8029
ENSG00000114982	1196	1362	1334	1428
ENSG00000114988	676	678	655	751
ENSG00000114993	120	104	72	101
ENSG00000114999	1643	1816	1403	1421
ENSG00000115008	4	2	3	3
ENSG00000115009	8	9	11	17
ENSG00000115020	4899	5450	4453	4266
ENSG00000115041	12	3	4	1
ENSG00000115042	279	370	295	317
ENSG00000115053	42286	44214	41057	41099
ENSG00000115073	883	956	701	754
ENSG00000115084	1134	1243	1044	913
ENSG00000115085	1	3	2	1
ENSG00000115091	13710	14752	14725	13778
ENSG00000115107	960	968	822	846
ENSG00000115109	115	94	95	58
ENSG00000115112	4	3	3	0
ENSG00000115128	1969	2108	2259	2106
ENSG00000115129	115	127	153	156
ENSG00000115137	184	215	178	199
ENSG00000115138	0	0	0	0
ENSG00000115145	891	923	1096	1049
ENSG00000115155	1	4	6	18
ENSG00000115159	2156	2234	1331	1157
ENSG00000115163	904	1008	643	587
ENSG00000115165	55	69	269	265
ENSG00000115170	202	259	302	295
ENSG00000115183	531	537	363	294
ENSG00000115194	14	27	19	19
ENSG00000115204	1360	1537	1332	1448
ENSG00000115207	2868	3127	3231	3290
ENSG00000115211	1011	1074	957	901
ENSG00000115216	2711	2910	3186	3200
ENSG00000115221	0	1	0	0
ENSG00000115226	0	1	1	1
ENSG00000115232	8068	9065	6744	6637
ENSG00000115233	3065	3237	2814	2832
ENSG00000115234	2539	2651	2551	2497
ENSG00000115239	62	72	73	84
ENSG00000115241	8196	8520	7624	7624
ENSG00000115252	0	1	2	0
ENSG00000115255	173	208	155	148
ENSG00000115257	69	71	31	50
ENSG00000115263	0	1	0	0
ENSG00000115266	15	18	11	19
ENSG00000115267	773	879	3572	3475
ENSG00000115268	7449	7364	6438	6421
ENSG00000115271	313	372	469	439
ENSG00000115274	6	11	18	14
ENSG00000115275	2854	3195	3062	3085
ENSG00000115282	784	798	753	758
ENSG00000115286	1058	1088	1082	1154
ENSG00000115289	448	505	442	467
ENSG00000115290	0	0	0	0
ENSG00000115295	56	43	72	73
ENSG00000115297	0	0	0	0
ENSG00000115306	5201	5590	5363	5225
ENSG00000115307	5669	5905	5773	5728
ENSG00000115310	6423	6814	6904	6719
ENSG00000115317	712	861	595	668
ENSG00000115318	219	219	258	240
ENSG00000115325	1032	1074	909	853
ENSG00000115339	128	116	181	156
ENSG00000115350	660	664	595	604
ENSG00000115353	0	0	0	0
ENSG00000115355	4175	4581	4916	4739
ENSG00000115361	2	0	4	0
ENSG00000115363	1	0	1	1
ENSG00000115364	1674	1853	1547	1487
ENSG00000115365	2333	2711	2039	1863
ENSG00000115368	2187	2373	2235	2271
ENSG00000115380	0	0	0	0
ENSG00000115386	0	0	0	0
ENSG00000115392	714	767	790	702
ENSG00000115414	27	35	68	58
ENSG00000115415	6383	7046	18485	18079
ENSG00000115419	2027	2129	1478	1270
ENSG00000115421	698	813	699	701
ENSG00000115423	39	59	114	77
ENSG00000115425	180	168	151	155
ENSG00000115446	774	841	841	745
ENSG00000115457	315	371	220	210
ENSG00000115459	382	462	474	435
ENSG00000115461	1	3	1	1
ENSG00000115464	5496	6132	5425	5328
ENSG00000115468	26	37	28	18
ENSG00000115474	1	0	0	0
ENSG00000115484	9027	9595	10712	10402
ENSG00000115486	1024	1083	1018	958
ENSG00000115488	0	0	0	0
ENSG00000115504	616	611	558	507
ENSG00000115507	1613	1640	1484	1503
ENSG00000115514	928	849	892	937
ENSG00000115520	608	694	750	597
ENSG00000115523	2	1	4	2
ENSG00000115524	13945	15158	14837	14540
ENSG00000115525	124	149	123	127
ENSG00000115526	917	989	830	832
ENSG00000115539	560	611	531	543
ENSG00000115540	558	646	723	596
ENSG00000115541	1848	2087	1725	1686
ENSG00000115548	1598	1753	1434	1389
ENSG00000115556	3	6	7	8
ENSG00000115561	1248	1477	1151	1034
ENSG00000115568	1130	1284	1048	1137
ENSG00000115590	2	2	2	2
ENSG00000115592	0	0	0	1
ENSG00000115593	0	0	0	0
ENSG00000115594	67	86	103	100
ENSG00000115596	174	205	150	174
ENSG00000115598	0	0	0	0
ENSG00000115602	3	0	2	0
ENSG00000115604	12	20	16	17
ENSG00000115607	8	8	22	16
ENSG00000115616	1	0	0	1
ENSG00000115641	140	151	103	100
ENSG00000115648	4	7	6	2
ENSG00000115649	1281	1319	1059	1026
ENSG00000115652	2160	2273	2528	2526
ENSG00000115657	34	26	22	37
ENSG00000115661	645	614	518	555
ENSG00000115665	0	0	0	0
ENSG00000115677	16209	17159	17497	17704
ENSG00000115685	1963	2048	1884	1911
ENSG00000115687	1113	1210	763	785
ENSG00000115694	1445	1455	1303	1333
ENSG00000115705	1	6	2	1
ENSG00000115718	4	3	7	8
ENSG00000115738	1402	1462	1590	1438
ENSG00000115750	650	703	751	648
ENSG00000115756	820	905	981	1051
ENSG00000115758	7660	8129	5744	5576
ENSG00000115760	5799	6481	6549	6282
ENSG00000115761	1735	1913	1841	1840
ENSG00000115762	5961	6443	6898	6959
ENSG00000115806	2438	2595	2374	2311
ENSG00000115808	1689	1866	1677	1520
ENSG00000115816	2763	2912	2790	2752
ENSG00000115825	2392	2798	2388	2300
ENSG00000115827	973	1000	868	795
ENSG00000115828	41	44	122	110
ENSG00000115839	1598	1668	1831	1766
ENSG00000115840	672	763	625	641
ENSG00000115841	85	107	87	99
ENSG00000115844	21	7	4	10
ENSG00000115850	0	0	3	4
ENSG00000115866	2497	2748	2693	2502
ENSG00000115875	4467	4712	4404	4297
ENSG00000115884	28	14	9	6
ENSG00000115896	10	7	5	10
ENSG00000115902	1524	1597	1509	1524
ENSG00000115904	1987	2108	1759	1748
ENSG00000115919	648	635	802	718
ENSG00000115934	0	3	0	0
ENSG00000115935	2446	2682	2924	2841
ENSG00000115942	1092	1225	1102	1075
ENSG00000115944	1990	2188	1830	1749
ENSG00000115946	943	990	868	940
ENSG00000115947	689	782	677	592
ENSG00000115956	4402	4816	6715	6772
ENSG00000115963	20	15	63	86
ENSG00000115966	1810	1934	1681	1443
ENSG00000115970	1323	1487	1323	1378
ENSG00000115977	3898	4586	2332	2351
ENSG00000115993	1607	1816	1756	1668
ENSG00000115998	202	227	231	261
ENSG00000116001	2338	2504	2291	1989
ENSG00000116005	3062	3470	2629	2586
ENSG00000116014	2	0	0	0
ENSG00000116016	190	217	121	110
ENSG00000116017	3052	3206	3274	3425
ENSG00000116030	3156	3326	2803	2662
ENSG00000116031	0	0	0	0
ENSG00000116032	41	56	36	32
ENSG00000116035	32	35	48	36
ENSG00000116039	87	81	79	100
ENSG00000116044	2970	3149	3373	3265
ENSG00000116062	3756	4059	3943	3988
ENSG00000116095	810	859	829	808
ENSG00000116096	871	844	788	713
ENSG00000116106	1	0	1	0
ENSG00000116117	1	0	0	0
ENSG00000116120	2843	2987	3102	3069
ENSG00000116127	1019	1212	968	951
ENSG00000116128	145	188	170	152
ENSG00000116132	2	4	2	2
ENSG00000116133	5309	5743	3472	3432
ENSG00000116138	976	1040	1017	992
ENSG00000116141	3	4	2	3
ENSG00000116147	3	2	1	1
ENSG00000116151	186	177	152	161
ENSG00000116157	564	600	665	645
ENSG00000116161	4646	5014	4527	4301
ENSG00000116171	3920	4251	4138	3707
ENSG00000116176	0	0	0	0
ENSG00000116183	23	21	33	30
ENSG00000116191	364	340	176	200
ENSG00000116194	0	0	0	0
ENSG00000116198	890	921	732	789
ENSG00000116199	2491	2803	3018	3043
ENSG00000116205	1657	1825	1706	1661
ENSG00000116209	4499	4961	5415	5177
ENSG00000116212	674	786	701	715
ENSG00000116213	554	612	589	638
ENSG00000116218	0	0	0	0
ENSG00000116221	8250	8577	8036	7945
ENSG00000116237	4451	4881	3424	3510
ENSG00000116251	6427	7074	5453	5232
ENSG00000116254	5	11	8	14
ENSG00000116260	7739	8084	10136	10276
ENSG00000116266	1806	2039	2078	1936
ENSG00000116273	571	558	397	347
ENSG00000116285	48	56	35	34
ENSG00000116288	4809	5252	4178	4246
ENSG00000116299	14	12	11	9
ENSG00000116329	12	9	15	13
ENSG00000116337	1221	1231	1116	1102
ENSG00000116350	3446	3761	3389	3215
ENSG00000116353	433	436	438	391
ENSG00000116396	290	282	202	219
ENSG00000116406	7358	8155	7443	6886
ENSG00000116455	1168	1263	1043	1082
ENSG00000116459	8320	8728	7569	7438
ENSG00000116473	2353	2643	2643	2401
ENSG00000116478	5444	6053	5134	5141
ENSG00000116489	4250	4691	14676	13985
ENSG00000116497	933	1134	890	884
ENSG00000116514	278	319	313	322
ENSG00000116521	2422	2594	2589	2602
ENSG00000116525	128	145	116	126
ENSG00000116539	3579	3968	3562	3433
ENSG00000116544	1	1	4	0
ENSG00000116560	17284	18758	15077	14772
ENSG00000116574	2876	3217	2303	2274
ENSG00000116580	1261	1382	1180	1231
ENSG00000116584	5058	5247	4967	4822
ENSG00000116586	884	897	758	723
ENSG00000116604	11042	11671	9789	10260
ENSG00000116641	588	650	623	549
ENSG00000116649	4316	4435	3957	4025
ENSG00000116652	3	8	6	6
ENSG00000116661	0	0	0	0
ENSG00000116663	281	259	505	458
ENSG00000116667	266	250	198	169
ENSG00000116668	28	39	30	42
ENSG00000116670	1332	1430	999	1000
ENSG00000116675	47	58	71	58
ENSG00000116678	487	480	405	394
ENSG00000116679	2567	2672	2247	2268
ENSG00000116685	2092	2127	1979	1897
ENSG00000116688	4838	5176	4843	4855
ENSG00000116690	0	2	1	1
ENSG00000116691	1296	1357	1429	1412
ENSG00000116698	4002	4425	4945	4829
ENSG00000116701	592	603	1042	1057
ENSG00000116703	0	0	0	0
ENSG00000116704	1440	1646	1485	1534
ENSG00000116711	330	372	382	397
ENSG00000116717	97	104	66	55
ENSG00000116721	0	0	0	0
ENSG00000116726	0	0	0	0
ENSG00000116729	803	828	661	668
ENSG00000116731	1909	1934	1891	1932
ENSG00000116741	46	49	37	60
ENSG00000116745	0	0	0	0
ENSG00000116747	1727	1864	1694	1507
ENSG00000116748	0	2	0	0
ENSG00000116750	2667	2913	3031	2806
ENSG00000116752	1398	1345	1277	1185
ENSG00000116754	6065	6517	5487	5233
ENSG00000116761	76	63	32	35
ENSG00000116771	473	482	350	362
ENSG00000116774	98	113	324	332
ENSG00000116783	1	4	1	1
ENSG00000116785	0	0	0	1
ENSG00000116786	2524	2601	2692	2732
ENSG00000116791	401	390	352	329
ENSG00000116793	1416	1498	1232	1196
ENSG00000116809	640	588	544	523
ENSG00000116815	443	466	570	547
ENSG00000116819	25	31	48	32
ENSG00000116824	1	2	2	2
ENSG00000116830	2729	3026	2595	2555
ENSG00000116833	12	16	15	8
ENSG00000116852	328	380	292	360
ENSG00000116857	409	476	363	389
ENSG00000116863	565	527	623	628
ENSG00000116871	2369	2284	2587	2496
ENSG00000116874	477	512	548	570
ENSG00000116882	0	1	0	0
ENSG00000116883	25	28	27	38
ENSG00000116885	2	3	0	1
ENSG00000116898	1731	1857	1528	1534
ENSG00000116903	1641	1765	1704	1649
ENSG00000116906	3987	4248	4030	3821
ENSG00000116918	1725	1715	1586	1309
ENSG00000116922	492	588	533	519
ENSG00000116954	436	528	482	496
ENSG00000116957	1340	1405	1512	1383
ENSG00000116962	1094	1071	1313	1367
ENSG00000116977	3146	3480	3440	3392
ENSG00000116981	7	16	2	2
ENSG00000116983	3	2	2	1
ENSG00000116984	2283	2332	2044	2119
ENSG00000116985	7890	8370	5362	5307
ENSG00000116990	1174	1288	1363	1360
ENSG00000116991	231	194	287	294
ENSG00000116996	0	0	0	0
ENSG00000117000	15768	16536	15141	14832
ENSG00000117009	93	97	138	115
ENSG00000117010	3666	3883	4151	3824
ENSG00000117013	409	431	258	275
ENSG00000117016	6227	6437	6972	7192
ENSG00000117020	1101	1089	1020	963
ENSG00000117036	904	941	951	923
ENSG00000117054	1902	1858	961	930
ENSG00000117069	3	2	0	2
ENSG00000117090	13	21	12	14
ENSG00000117091	1	1	4	4
ENSG00000117114	7331	8163	6113	5997
ENSG00000117115	74	84	44	49
ENSG00000117118	2214	2361	2462	2419
ENSG00000117122	0	1	0	0
ENSG00000117133	1142	1263	1201	1091
ENSG00000117139	2688	3015	2387	2404
ENSG00000117143	1404	1546	1242	1204
ENSG00000117148	4	3	1	4
ENSG00000117151	557	670	635	578
ENSG00000117152	0	0	2	0
ENSG00000117153	1115	1234	1225	1165
ENSG00000117154	0	0	0	0
ENSG00000117155	1347	1497	1067	962
ENSG00000117174	1048	1134	1063	952
ENSG00000117215	1	0	5	3
ENSG00000117222	1426	1591	1650	1546
ENSG00000117226	225	223	516	489
ENSG00000117228	12	17	199	205
ENSG00000117242	737	769	648	700
ENSG00000117245	1109	1051	734	705
ENSG00000117262	69	76	53	63
ENSG00000117266	84	91	98	91
ENSG00000117280	826	933	1097	1044
ENSG00000117281	1	0	1	0
ENSG00000117298	1074	1132	769	785
ENSG00000117305	367	361	363	393
ENSG00000117308	298	325	268	277
ENSG00000117318	141	168	92	106
ENSG00000117322	0	0	0	1
ENSG00000117335	3674	3928	3537	3422
ENSG00000117360	2944	3256	3198	3450
ENSG00000117362	4917	5303	4503	4615
ENSG00000117385	8467	9163	10703	10699
ENSG00000117394	4991	5096	4045	3813
ENSG00000117395	3794	3862	3630	3416
ENSG00000117399	18996	20202	16829	17127
ENSG00000117400	1	1	1	1
ENSG00000117407	167	163	125	148
ENSG00000117408	1563	1568	1571	1567
ENSG00000117410	6474	6610	6373	6123
ENSG00000117411	1352	1457	1031	1054
ENSG00000117419	1451	1570	1147	1123
ENSG00000117425	36	46	34	43
ENSG00000117448	1780	1940	2294	2279
ENSG00000117450	9961	10609	12865	12755
ENSG00000117461	599	643	581	574
ENSG00000117472	0	0	0	0
ENSG00000117475	652	747	987	893
ENSG00000117477	1	0	0	2
ENSG00000117479	606	688	420	444
ENSG00000117480	51	74	54	74
ENSG00000117481	1227	1367	1310	1259
ENSG00000117500	6166	6516	5979	5351
ENSG00000117501	0	1	1	2
ENSG00000117505	5885	6504	4668	4310
ENSG00000117507	0	1	0	1
ENSG00000117519	195	232	127	127
ENSG00000117523	16742	17257	17107	17129
ENSG00000117525	797	847	892	866
ENSG00000117528	3062	3243	2435	2392
ENSG00000117533	278	314	261	258
ENSG00000117543	825	895	740	737
ENSG00000117560	0	0	0	0
ENSG00000117569	839	1024	826	746
ENSG00000117586	9	18	18	17
ENSG00000117592	4288	4760	4127	4045
ENSG00000117593	1846	1980	1613	1608
ENSG00000117594	284	284	378	355
ENSG00000117595	7	1	7	4
ENSG00000117597	1065	1139	1051	1106
ENSG00000117598	3	1	0	0
ENSG00000117600	8	10	9	10
ENSG00000117601	16	22	12	7
ENSG00000117602	696	715	502	457
ENSG00000117614	718	773	665	617
ENSG00000117616	1907	2147	2098	2134
ENSG00000117620	1040	1161	935	840
ENSG00000117625	1274	1385	1005	922
ENSG00000117632	16668	18184	13487	13189
ENSG00000117640	1343	1489	1290	1345
ENSG00000117643	210	243	174	209
ENSG00000117650	816	920	757	769
ENSG00000117676	4378	4589	4894	4926
ENSG00000117682	830	874	947	971
ENSG00000117691	733	825	702	608
ENSG00000117697	550	631	628	609
ENSG00000117707	4	3	14	4
ENSG00000117713	8920	9409	7123	7657
ENSG00000117724	10672	11555	8988	8966
ENSG00000117748	1590	1736	1542	1551
ENSG00000117751	1766	2048	1803	1731
ENSG00000117758	1079	1174	1507	1341
ENSG00000117791	42	38	41	28
ENSG00000117834	0	0	0	0
ENSG00000117859	2484	2645	2123	2028
ENSG00000117862	5604	6024	5363	5188
ENSG00000117868	7760	8429	6527	6483
ENSG00000117877	898	983	908	859
ENSG00000117899	1301	1389	1709	1660
ENSG00000117906	1873	2061	1448	1251
ENSG00000117971	9	8	8	7
ENSG00000117983	0	0	1	0
ENSG00000117984	2424	2409	4556	4732
ENSG00000118004	17	11	10	12
ENSG00000118007	1716	1798	1701	1644
ENSG00000118017	1	0	0	0
ENSG00000118046	2271	2387	1939	2067
ENSG00000118058	1966	2178	1805	1697
ENSG00000118094	0	0	0	0
ENSG00000118096	213	228	152	184
ENSG00000118113	1	3	0	2
ENSG00000118137	5	2	3	2
ENSG00000118156	0	0	2	0
ENSG00000118160	1	7	2	4
ENSG00000118162	298	270	311	285
ENSG00000118181	11051	11993	8727	8881
ENSG00000118193	2335	2633	1925	1863
ENSG00000118194	1	2	2	1
ENSG00000118197	501	608	576	540
ENSG00000118200	348	317	257	253
ENSG00000118217	1991	2229	2206	2219
ENSG00000118231	0	0	0	0
ENSG00000118242	79	89	50	52
ENSG00000118245	0	0	0	0
ENSG00000118246	1035	1138	1243	1093
ENSG00000118257	2	9	19	16
ENSG00000118260	2592	2954	2651	2370
ENSG00000118263	1140	1252	1144	1104
ENSG00000118271	0	0	0	1
ENSG00000118276	498	504	405	411
ENSG00000118292	237	302	243	231
ENSG00000118298	6	6	11	4
ENSG00000118307	0	6	2	3
ENSG00000118308	1163	1180	657	620
ENSG00000118322	17	21	9	8
ENSG00000118363	1597	1629	1580	1459
ENSG00000118369	142	151	129	131
ENSG00000118402	13	10	5	2
ENSG00000118407	8	3	10	3
ENSG00000118412	3320	3511	3003	3073
ENSG00000118418	5001	5236	4545	4110
ENSG00000118420	223	248	192	183
ENSG00000118432	218	243	134	143
ENSG00000118434	0	1	0	0
ENSG00000118454	1431	1595	1402	1329
ENSG00000118473	33	18	39	27
ENSG00000118482	4602	5103	3782	3866
ENSG00000118491	0	0	1	0
ENSG00000118492	5	10	2	1
ENSG00000118495	1517	1703	1274	1294
ENSG00000118496	1374	1499	1372	1182
ENSG00000118503	532	579	2062	2113
ENSG00000118507	293	338	220	174
ENSG00000118508	1811	1951	1465	1529
ENSG00000118513	20321	21372	18056	17539
ENSG00000118514	43	61	60	48
ENSG00000118515	108	105	433	378
ENSG00000118518	1284	1471	1479	1483
ENSG00000118520	0	0	0	0
ENSG00000118523	39	33	25	15
ENSG00000118526	0	2	1	0
ENSG00000118557	56	79	63	70
ENSG00000118564	3130	3396	3775	3731
ENSG00000118579	3348	3581	3143	3162
ENSG00000118596	1232	1410	1240	1124
ENSG00000118600	424	489	511	485
ENSG00000118620	902	951	798	746
ENSG00000118640	7101	7321	6114	5882
ENSG00000118655	1162	1281	1129	1119
ENSG00000118680	3353	3455	3148	3186
ENSG00000118689	1047	1132	951	935
ENSG00000118690	93	91	62	77
